Beautiful Soup,Lxml,Regular expressions
0.02200794219970703,0.020780086517333984,0.00851893424987793
0.04466390609741211,0.025856971740722656,0.01647496223449707
0.07218790054321289,0.02939915657043457,0.024934053421020508
0.09715795516967773,0.033312082290649414,0.03273200988769531
0.1200258731842041,0.03788304328918457,0.041478872299194336
0.1400899887084961,0.04143214225769043,0.050386905670166016
0.16400694847106934,0.045419931411743164,0.05689692497253418
0.1834728717803955,0.04935598373413086,0.06159186363220215
0.20317888259887695,0.05303001403808594,0.06631588935852051
0.22381186485290527,0.05679512023925781,0.07135987281799316
0.2438349723815918,0.0608220100402832,0.07629203796386719
0.2637360095977783,0.06502795219421387,0.08109688758850098
0.2917449474334717,0.06876015663146973,0.08626008033752441
0.313478946685791,0.07281303405761719,0.09127998352050781
0.33431005477905273,0.07670211791992188,0.09626507759094238
0.35691189765930176,0.08025407791137695,0.10123801231384277
0.37781596183776855,0.08382415771484375,0.10635185241699219
0.3975999355316162,0.08737707138061523,0.1112520694732666
0.4174330234527588,0.09258699417114258,0.11716699600219727
0.43713998794555664,0.09595799446105957,0.12186193466186523
0.45690202713012695,0.09932994842529297,0.12690091133117676
0.4770169258117676,0.1029210090637207,0.13176894187927246
0.496898889541626,0.10706305503845215,0.13675689697265625
0.51698899269104,0.11034107208251953,0.14150500297546387
0.5393569469451904,0.11357593536376953,0.1470930576324463
0.5590808391571045,0.1171259880065918,0.15216994285583496
0.579442024230957,0.12064194679260254,0.1567230224609375
0.5989270210266113,0.12398099899291992,0.16121196746826172
0.6193680763244629,0.1272280216217041,0.16570591926574707
0.6392669677734375,0.1310420036315918,0.170335054397583
0.6585500240325928,0.1346909999847412,0.17527508735656738
0.6798620223999023,0.1381521224975586,0.18021488189697266
0.7003118991851807,0.14168596267700195,0.18498992919921875
0.7222230434417725,0.14487814903259277,0.18965792655944824
0.7427639961242676,0.14812302589416504,0.19475793838500977
0.7635560035705566,0.1513841152191162,0.19945788383483887
0.7838490009307861,0.15470314025878906,0.20417404174804688
0.8044178485870361,0.1579761505126953,0.20768094062805176
0.8246710300445557,0.16157102584838867,0.21060705184936523
0.8446290493011475,0.1648540496826172,0.21333694458007812
0.8664300441741943,0.16828608512878418,0.21609997749328613
